Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1600.3117087378644
FDW14,OUT017,1446.962653846154
NCN55,OUT010,589.9033917241383
FDQ58,OUT017,2344.3133378947364
FDY38,OUT027,6186.3339639999995
FDH56,OUT046,1769.0689194244603
FDL48,OUT018,610.1427189189191
FDC48,OUT027,2565.2441749999994
FDN33,OUT045,1464.8134583941596
FDA36,OUT017,3381.8624870229
FDT44,OUT017,1896.4015254237288
FDQ56,OUT045,1446.962653846154
NCC54,OUT019,589.9033917241383
FDU11,OUT049,2151.1210071005917
DRL59,OUT013,610.1427189189191
FDM24,OUT049,2344.3133378947364
FDI57,OUT045,2931.9708637837834
DRC12,OUT018,3093.1975405128205
NCM42,OUT027,3161.536304504507
FDA46,OUT010,463.4712372670806
FDA31,OUT013,2653.2711766990296
NCJ31,OUT035,3699.7451816666667
FDG52,OUT046,704.3720133333337
NCL19,OUT019,289.59803250000004
FDS10,OUT035,3131.349994701988
FDX22,OUT010,589.9033917241383
NCF19,OUT035,704.3720133333337
NCE06,OUT046,2568.902034951457
DRC27,OUT046,4098.274361728395
FDE21,OUT035,2228.4698186335395
NCR42,OUT019,126.60097027027024
FDX51,OUT018,2931.9708637837834
NCR06,OUT018,610.1427189189191
FDU31,OUT027,5532.132199999999
FDU59,OUT017,2568.902034951457
FDR03,OUT027,5532.132199999999
FDS49,OUT027,2565.2441749999994
FDD48,OUT010,289.59803250000004
NCF18,OUT017,3093.1975405128205
NCD43,OUT027,2565.2441749999994
NCD54,OUT018,1866.4970620000001
FDY19,OUT010,289.59803250000004
NCY54,OUT017,2653.2711766990296
NCL19,OUT018,2302.9509846153833
FDP23,OUT010,589.9033917241383
FDC26,OUT013,1896.4015254237288
FDR14,OUT010,126.60097027027024
NCS41,OUT035,3093.1975405128205
FDF41,OUT035,3699.7451816666667
FDU34,OUT046,2010.7159999999997
DRH11,OUT046,865.6539657657659
FDM03,OUT013,1464.8134583941596
FDS31,OUT017,3131.349994701988
FDJ20,OUT017,2010.7159999999997
FDV44,OUT027,5532.132199999999
FDG02,OUT049,3381.8624870229
FDA09,OUT013,2653.2711766990296
FDT04,OUT013,610.1427189189191
FDL58,OUT019,589.9033917241383
FDE52,OUT045,1349.0734381679385
FDW12,OUT035,2605.7486132231415
FDL51,OUT017,3743.5714666666654
NCY42,OUT027,3161.536304504507
FDR07,OUT017,1683.1073578947369
FDN40,OUT045,2344.3133378947364
FDB35,OUT027,2565.2441749999994
FDA22,OUT017,2568.902034951457
NCL06,OUT046,4358.518779141106
FDI35,OUT013,2913.9758772277237
NCW42,OUT045,3370.6351242718442
NCX06,OUT049,2655.2038079207928
FDC37,OUT027,2565.2441749999994
FDZ14,OUT018,2151.1210071005917
DRG49,OUT049,3370.6351242718442
NCG06,OUT045,4358.518779141106
DRC36,OUT045,3131.349994701988
FDV21,OUT019,289.59803250000004
FDB53,OUT046,2344.3133378947364
DRP47,OUT019,589.9033917241383
FDA14,OUT013,2302.9509846153833
DRC24,OUT035,2344.3133378947364
FDW21,OUT018,1442.2859862745097
NCH29,OUT046,1442.2859862745097
FDU58,OUT013,3381.8624870229
FDY27,OUT017,3131.349994701988
FDV56,OUT035,1600.3117087378644
FDT59,OUT046,4098.274361728395
FDB23,OUT046,3743.5714666666654
FDR49,OUT045,779.7048283185837
FDB03,OUT010,589.9033917241383
FDN39,OUT045,2882.574442
FDX02,OUT027,6186.3339639999995
FDQ16,OUT027,2565.2441749999994
FDU35,OUT018,1683.1073578947369
NCT29,OUT013,2010.7159999999997
FDZ27,OUT046,704.3720133333337
FDN57,OUT017,2010.7159999999997
FDA03,OUT018,2302.9509846153833
FDZ36,OUT045,3381.8624870229
NCU05,OUT013,1205.1778959999995
FDT39,OUT018,2302.9509846153833
FDK60,OUT017,1683.1073578947369
FDZ25,OUT017,3131.349994701988
FDG12,OUT046,2228.4698186335395
DRB01,OUT019,463.4712372670806
NCC43,OUT027,6186.3339639999995
FDX13,OUT019,589.9033917241383
FDM22,OUT049,865.6539657657659
FDJ03,OUT027,1351.6832328125001
FDU14,OUT018,3370.356423076923
FDB33,OUT010,366.86531142857154
FDP27,OUT046,3381.8624870229
FDO38,OUT010,209.2850465517241
FDE28,OUT027,6186.3339639999995
FDO27,OUT035,1464.8134583941596
DRL23,OUT027,2565.2441749999994
FDS28,OUT046,865.6539657657659
FDX24,OUT013,1442.2859862745097
FDZ02,OUT035,1442.2859862745097
FDL46,OUT045,1769.0689194244603
FDS60,OUT027,4335.383796511628
NCO06,OUT017,553.5032853146854
FDO16,OUT035,1446.962653846154
FDC60,OUT049,1446.962653846154
FDA48,OUT018,3370.356423076923
FDZ36,OUT027,5532.132199999999
FDK27,OUT045,2228.4698186335395
FDW23,OUT018,610.1427189189191
FDM14,OUT018,2228.4698186335395
FDM14,OUT013,1600.3117087378644
FDW60,OUT018,2655.2038079207928
FDE21,OUT013,2228.4698186335395
NCM42,OUT035,1600.3117087378644
FDY59,OUT010,209.2850465517241
DRI49,OUT049,1205.1778959999995
FDT28,OUT019,366.86531142857154
